Market Signal ID,Product Area,Target User / Context,Need / Pain Point,Current / Existing Solution,Remaining Gap / DELTA,Required Function,Market Pull Class,Source IDs
MS-001,Shower,Hộ gia đình có áp lực cấp nước thấp hoặc thường xuyên dao động.,"Khi áp lực nước thấp, tia sen yếu và vùng phun kém thoải mái; người dùng muốn vẫn có trải nghiệm tắm hữu ích mà không phải lắp thêm bơm.","Tay sen/bát sen tiêu chuẩn, đầu phun bù áp và hệ tăng áp.","Các giải pháp không đảm bảo hiệu năng ổn định ở mọi áp lực; bơm làm tăng kích thước, tiếng ồn, điện năng và độ phức tạp.",Duy trì lực tia và vùng phun hữu ích ở áp lực thấp/dao động với tổn thất áp suất và độ phức tạp thấp.,ACTIVE SIGNAL,SRC-278;SRC-281;SRC-282
MS-002,Shower / Water Quality,"Người dùng quan tâm chất lượng nước tắm, cặn và tác động không mong muốn lên da/tóc.","Muốn giảm tạp chất hoặc cặn trong nước tắm nhưng không muốn tia yếu, sản phẩm cồng kềnh hoặc phải bảo trì thường xuyên.","Bộ lọc nối tiếp, lõi lọc trong tay sen và sen tích hợp lọc.",Lọc có thể gây sụt áp; lõi phải thay; hiệu quả phụ thuộc loại vật liệu và chất ô nhiễm thực tế.,"Giảm đúng chất mục tiêu với tổn thất áp suất, kích thước, chi phí và công bảo trì chấp nhận được.",ACTIVE SIGNAL,SRC-278;SRC-279;SRC-284
MS-003,Shower / Hot Water,Người bắt đầu tắm sau khi nước nóng trong đường ống đã nguội.,"Muốn có nước ấm nhanh khi bắt đầu tắm, không phải đứng chờ và xả bỏ nhiều nước lạnh.","Tuần hoàn nước nóng, gia nhiệt/lưu trữ cục bộ và chuyển dòng theo nhiệt độ.","Các giải pháp hiện tại vẫn đánh đổi giữa thời gian chờ, lượng nước xả, năng lượng, kích thước và độ phức tạp.",Giảm thời gian chờ và nước bị xả bỏ mà không cần thêm một hệ phụ lớn hoặc tiêu thụ năng lượng không hợp lý.,ACTIVE SIGNAL,SRC-278;SRC-282
MS-004,Shower / Safety,"Gia đình, đặc biệt nhà có trẻ em hoặc người nhạy cảm với nước nóng.",Nhiệt độ nước biến động có thể gây bỏng; người dùng cần bảo vệ dễ hiểu và đáng tin cậy.,"Van trộn nhiệt, giới hạn nhiệt độ và cơ cấu chống bỏng.","Giải pháp phổ biến nhưng vẫn cần xử lý tốt các tình huống chuyển tiếp, lỗi, thay đổi áp lực và thao tác của người dùng.",Giữ nhiệt độ đầu ra trong vùng an toàn và đưa hệ về trạng thái an toàn khi nhiệt độ hoặc điều kiện cấp nước bất thường.,ACTIVE SIGNAL,SRC-278;SRC-280;SRC-287
MS-005,Shower / Accessibility,Người muốn rảnh tay khi tắm hoặc khó tiếp cận vùng chân/phần thân dưới.,"Muốn đưa nước tới vùng thân dưới mà không phải liên tục cầm, đổi vị trí đầu phun hoặc đổi tư thế.","Tay sen, vòi phun thân cố định/điều chỉnh hướng và vòi vệ sinh.","Người dùng vẫn phải giữ hoặc điều chỉnh vị trí; giải pháp hiện có chưa tối ưu đồng thời khả năng tiếp cận, rảnh tay và tính gọn.",Đưa nước tới vùng mục tiêu với ít thao tác tay và ít thay đổi tư thế nhất có thể.,ACTIVE SIGNAL,SRC-278;SRC-282
MS-006,Shower / Family Use,"Gia đình có nhiều chiều cao khác nhau, gồm trẻ em và người thấp.","Muốn thay đổi chiều cao bát sen dễ dàng, lực thao tác thấp và phù hợp nhiều người dùng.","Thanh trượt, ống lồng, tay đỡ khớp nối và cơ cấu chỉnh cao một chạm.","Cơ cấu có thể tăng chi phí, số chi tiết hoặc lực thao tác; trải nghiệm cho trẻ em/người thấp chưa đồng nhất.","Đổi chiều cao trực quan, lực thấp, tin cậy và có kiến trúc đơn giản.",ACTIVE SIGNAL,SRC-278;SRC-283;SRC-287
MS-007,Shower / Premium Experience,Khách hàng cao cấp muốn phòng tắm là nơi thư giãn và phục hồi trong nhịp sống bận rộn.,Sen tắm được sử dụng thường xuyên nhưng giá trị thư giãn/cao cấp chưa luôn được cảm nhận rõ như ở bồn tắm hoặc toilet cao cấp.,"Đa dạng kiểu tia, massage, microbubble, steam, light/sound/aroma và hệ sen đa chức năng.",Thêm nhiều mode/tính năng không tự tạo ra trải nghiệm khác biệt; giá trị phải được cảm nhận trực tiếp trong lúc tắm.,"Tạo lợi ích thư giãn, thoải mái hoặc phục hồi rõ ràng và có thể cảm nhận ngay khi sử dụng.",ACTIVE SIGNAL,SRC-277;SRC-281;SRC-282;SRC-284;SRC-285
MS-008,Bathroom Fittings / Premium,Hộ gia đình và khách sử dụng phòng tắm cao cấp.,"Muốn phòng tắm thể hiện sự chăm sóc, vệ sinh và thoải mái cho gia đình/khách chứ không chỉ có hình thức sang trọng.","Bộ sưu tập cao cấp, toilet/bồn tắm cao cấp và sen vòi có nhiều tính năng.",Sen/vòi vẫn khó tạo một lợi ích chăm sóc đủ rõ; nhiều tính năng đã trở thành phổ biến.,"Chuyển nhu cầu chăm sóc, vệ sinh hoặc thoải mái thành lợi ích sản phẩm cụ thể, dễ nhận biết.",WATCH,SRC-277;SRC-282;SRC-284
MS-009,Bathroom Faucet,Người mua vòi chậu phòng tắm.,"Muốn nhiệt độ ổn định, lưu lượng dễ chỉnh, nước êm, ít cặn, dễ vệ sinh, bề mặt bền, ít rò và có phụ tùng.",Các chức năng riêng lẻ đã có nhiều giải pháp trên thị trường.,"Khoảng trống không nằm ở việc thêm mọi chức năng, mà ở việc chọn đúng tổ hợp giá trị mà không làm sản phẩm phức tạp hoặc đắt quá mức.","Ưu tiên và tích hợp các chức năng có giá trị cao nhất trong một kiến trúc bền, dễ bảo trì và phù hợp chi phí.",WATCH,SRC-279
MS-010,Bathroom Faucet / Premium,Khách hàng trung-cao cấp và cao cấp coi trọng thiết kế.,"Muốn vòi khác biệt, hoàn thiện tốt và đồng bộ với tổng thể phòng tắm.","Thiết kế hiện đại, bộ sưu tập cao cấp, PVD và nhiều màu/hoàn thiện.",Chỉ mở rộng màu không còn đủ khác biệt; cần khác biệt về hình dáng/vật liệu đồng thời duy trì độ bền bề mặt.,"Tạo khác biệt về hình dáng, vật liệu hoặc hoàn thiện với độ bền bề mặt được duy trì lâu dài.",ACTIVE SIGNAL,SRC-279;SRC-280;SRC-282;SRC-287
